KIN ID,First Name,Last Name,Email
0,Elise,Wilder,sample@email.com
1,Roman,Hayes,sample@email.com
2,Faye,Remington,sample@email.com
3,Caspian,Lowe,sample@email.com
4,Etta,Monroe,sample@email.com
5,Griffin,Cross,sample@email.com
6,Ivy,Mathis,sample@email.com
7,Orin,Hale,sample@email.com
8,Elara,Clarke,sample@email.com
9,Caden,Foster,sample@email.com
10,Liana,Grey,sample@email.com
11,Holden,Drake,sample@email.com
12,Isolde,Finch,sample@email.com
13,Paxton,Whitmore,sample@email.com
14,Seren,Hayes,sample@email.com
