Id,Start time,Completion time,Email,Name,KIN Mentorship ID (Link to Spreadsheet),First Name,Last Name,Email Address,To which gender identity do you most identify?,Please indicate if you have a preference for what gender your mentor/mentee is:,How important is accessing and developing a professional AAPI network?,How open are you to exploring topics outside of your immediate career or academic focus in the mentorship?,"How much do you value a structured mentoring relationship (e.g., goal setting, progress tracking)?","How important is frequent communication (e.g., weekly or bi-weekly) in a mentoring relationship?",Select if you are a Kin Mentor or Kin Mentee,Would you be open to the possibility of having 2 Kin Mentees?,What industries can you provide mentorship on?,"How comfortable do you feel providing guidance on professional skills such as resume writing, interviewing, personal brand, presentation skills, etc.?",How confident do you feel in guiding your mentee in securing an internship or full-time employment opportunity?,Who is your #1 Kin Mentee preference?,Who is your #2 Kin Mentee preference?,Who is your #3 Kin Mentee preference?,Who is your #4 Kin Mentee preference?,Who is your #5 Kin Mentee preference?,Who is your #6 Kin Mentee preference?,Who is your #7 Kin Mentee preference?,Who is your #8 Kin Mentee preference?,Who is your #9 Kin Mentee preference?,Who is your #10 Kin Mentee preference?,Who is your #11 Kin Mentee preference?,Who is your #12 Kin Mentee preference?,Who is your #13 Kin Mentee preference?,Who is your #14 Kin Mentee preference?,Who is your #15 Kin Mentee preference?,Would you be open to the possibility of having a 1 Kin Mentor: 2 Kin Mentee mentorship partnership?,What industries are you interested in receiving mentorship on?,"How important is enhancing professional skills (resume writing, interviewing, personal brand, presentation skills, etc.)?",How important is securing an internship or full-time employment opportunity?,Who is your #1 Kin Mentor preference?,Who is your #2 Kin Mentor preference?,Who is your #3 Kin Mentor preference?,Who is your #4 Kin Mentor preference?,Who is your #5 Kin Mentor preference?,Who is your #6 Kin Mentor preference?,Who is your #7 Kin Mentor preference?,Who is your #8 Kin Mentor preference?,Who is your #9 Kin Mentor preference?,Who is your #10 Kin Mentor preference?,Who is your #11 Kin Mentor preference?,Who is your #12 Kin Mentor preference?,Who is your #13 Kin Mentor preference?,Who is your #14 Kin Mentor preference?,Who is your #15 Kin Mentor preference?,How comfortable do you feel in asking for help in achieving your academic and career goals?,How prepared do you feel to take the next steps in your career?,How connected do you feel to a network of professionals to achieve your academic and career goals?,"As an AAPI student, how empowered (supported and confident) do you feel in your ability to achieve your career goals?",How connected do you feel to the AAPI community?,Is there anything else that you would like us to consider as part of the matching process?
583305,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,sample@email.com,Aurora Sinclair,0,Aurora,Sinclair,sample@email.com,Female,Male,4,9,5,6,Kin Mentee,,,,,,,,,,,,,,,,,,,,No,Other;Legal;Pharmaceutical;,6,5,83,128,32,115,74,105,73,22,56,70,106,99,23,191,82,7,6,6,5,9,Filler String
698734,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,sample@email.com,Kai Thompson,1,Kai,Thompson,sample@email.com,Male,No Preference,7,8,2,10,Kin Mentee,,,,,,,,,,,,,,,,,,,,Yes,Legal;,10,9,65,132,76,177,187,17,101,44,139,34,198,116,55,197,92,10,8,6,9,10,Filler String
656597,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,sample@email.com,Evander Mason,2,Evander,Mason,sample@email.com,Nonbinary/Fluid/Gender Queer,No Preference,3,10,4,4,Kin Mentee,,,,,,,,,,,,,,,,,,,,No,Engineering;Nonprofit;Entertainment;,5,4,187,114,175,103,98,64,71,96,30,131,100,147,104,79,45,1,1,6,4,3,Filler String
921743,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,sample@email.com,Seraphina Whitmore,3,Seraphina,Whitmore,sample@email.com,Female,No Preference,9,4,8,6,Kin Mentee,,,,,,,,,,,,,,,,,,,,Yes,Engineering;Fashion;,2,7,132,92,162,111,65,32,97,81,37,88,99,95,190,141,171,8,1,3,3,3,Filler String
821521,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,sample@email.com,Leif Branson,4,Leif,Branson,sample@email.com,Female,No Preference,10,6,3,7,Kin Mentee,,,,,,,,,,,,,,,,,,,,No,Engineering;Human Resources;,10,5,186,41,153,145,42,88,27,134,165,91,9,182,155,28,195,2,4,6,10,7,Filler String
177902,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,sample@email.com,Thalia Rivera,5,Thalia,Rivera,sample@email.com,Male,Male,8,9,3,6,Kin Mentee,,,,,,,,,,,,,,,,,,,,Yes,Healthcare;Aerospace;Human Resources;Government;Finance;,8,2,114,26,28,10,65,147,118,27,17,64,59,168,40,119,74,4,4,9,2,8,Filler String
857217,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,sample@email.com,Orion Huxley,6,Orion,Huxley,sample@email.com,Male,No Preference,4,1,4,8,Kin Mentee,,,,,,,,,,,,,,,,,,,,Yes,Human Resources;Consulting;Entertainment;,3,5,199,156,96,89,142,173,149,85,84,50,21,99,35,8,41,2,7,7,5,8,Filler String
214624,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,sample@email.com,Alaric Devereaux,7,Alaric,Devereaux,sample@email.com,Male,No Preference,10,10,8,3,Kin Mentee,,,,,,,,,,,,,,,,,,,,No,Nonprofit;Fashion;Accounting;,5,8,4,51,117,148,121,96,54,14,43,191,78,27,172,113,19,10,6,4,1,6,Filler String
18018,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,sample@email.com,Isolde Kensington,8,Isolde,Kensington,sample@email.com,Female,Female,10,9,6,8,Kin Mentee,,,,,,,,,,,,,,,,,,,,No,Arts and Design;Pharmaceutical;Engineering;Government;,9,8,79,82,151,9,68,57,146,37,14,45,91,108,1,196,70,5,8,1,3,5,Filler String
112417,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,sample@email.com,Lysander Ellison,9,Lysander,Ellison,sample@email.com,Male,Male,9,10,4,3,Kin Mentee,,,,,,,,,,,,,,,,,,,,Yes,Agriculture;Fashion;Arts and Design;,10,8,124,33,59,115,190,62,36,82,42,179,88,138,12,44,130,7,2,4,8,4,Filler String
740890,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,sample@email.com,Cassia Bloom,10,Cassia,Bloom,sample@email.com,Female,No Preference,10,1,9,3,Kin Mentee,,,,,,,,,,,,,,,,,,,,Yes,Entrepreneurship;Agriculture;Pharmaceutical;Entertainment;,10,1,115,71,17,140,120,65,50,25,155,21,132,38,73,168,64,7,3,1,4,4,Filler String
425121,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,sample@email.com,Eamon Fitzgerald,11,Eamon,Fitzgerald,sample@email.com,Nonbinary/Fluid/Gender Queer,No Preference,1,1,4,2,Kin Mentee,,,,,,,,,,,,,,,,,,,,Yes,Technology;Human Resources;Government;Real Estate;,6,1,143,32,198,74,34,77,172,101,11,155,117,142,35,86,60,6,5,5,1,9,Filler String
937788,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,sample@email.com,Nyla Winters,12,Nyla,Winters,sample@email.com,Male,Male,3,6,6,9,Kin Mentee,,,,,,,,,,,,,,,,,,,,No,Other;Nonprofit;,10,4,50,197,7,125,65,195,132,172,135,119,112,124,74,192,56,7,6,9,6,2,Filler String
355475,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,sample@email.com,Soren Voss,13,Soren,Voss,sample@email.com,Male,Male,2,9,3,5,Kin Mentee,,,,,,,,,,,,,,,,,,,,No,Food and Beverage;,4,6,94,44,138,30,124,93,131,144,20,108,28,69,183,75,67,1,9,7,2,2,Filler String
899982,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,sample@email.com,Calista Morgan,14,Calista,Morgan,sample@email.com,Male,No Preference,10,3,8,7,Kin Mentee,,,,,,,,,,,,,,,,,,,,No,Media and News;,4,9,13,57,39,190,117,194,147,166,77,86,71,186,69,90,85,10,7,2,9,5,Filler String
141045,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,sample@email.com,Zephyr Larson,15,Zephyr,Larson,sample@email.com,Male,No Preference,3,4,9,8,Kin Mentee,,,,,,,,,,,,,,,,,,,,No,Advertising/Marketing;,7,9,114,187,44,101,10,35,15,46,67,177,169,198,89,73,28,2,10,7,6,5,Filler String
