Mentor ID,Mentor Name,Mentee ID,Mentee Name,Mentor Preference Number,Mentee Preference Number
0,Elise Wilder,154,Lennox Greer,1,N/A
1,Roman Hayes,20,Elowen March,1,N/A
2,Faye Remington,115,Zinnia Bennett,2,12
3,Caspian Lowe,172,Fleur Hastings,6,9
4,Etta Monroe,77,Caelum Ashton,1,9
5,Griffin Cross,168,Marina Stone,3,12
6,Ivy Mathis,61,Kaida Lawson,1,N/A
7,Orin Hale,68,Juniper Holt,12,2
8,Elara Clarke,74,Thorne Huxley,6,2
9,Caden Foster,66,Evadne Sawyer,1,N/A
10,Liana Grey,12,Nyla Winters,15,1
11,Holden Drake,56,Zev Caldwell,1,1
12,Isolde Finch,152,Mathis Finch,1,N/A
13,Paxton Whitmore,63,Taryn Russell,3,8
14,Seren Hayes,114,Rowan Brice,1,N/A
15,Zander Lake,6,Orion Huxley,1,N/A
16,Lyra Harlan,148,Daria Wren,1,N/A
17,Reeve Walton,137,Vivienne King,12,5
18,Marigold Shaw,163,Quincy Bishop,1,N/A
19,Bowen Gray,119,Elias Brooks,1,N/A
20,Elysia Hale,155,Mira Calloway,1,N/A
21,Luca Monroe,13,Soren Voss,2,N/A
22,Naya Reid,62,Mirabel Quinn,5,2
23,Maxton Carter,138,Desmond Swift,1,5
24,Opal Tate,45,Calix Vaughn,5,2
25,Zephyr Bowen,59,Elysia Compton,10,6
26,Alina Morgan,91,Mirren Cole,7,4
27,Lachlan Woods,47,Dax Remington,9,6
28,Talia Drake,92,Halcyon Ward,2,6
29,Theron Hale,9,Lysander Ellison,1,N/A
30,Sylvie Reid,5,Thalia Rivera,4,1
31,Atlas Vaughn,112,Darian Hunt,1,N/A
32,Elinor Fields,178,Kane O’Hara,1,N/A
33,Sterling Voss,87,Emerson Wren,4,9
34,Livia Hart,29,Idris Monteiro,1,9
35,Arden Lowe,186,Beckett Hayes,3,11
36,Rhett Palmer,32,Mireille Duchamp,10,8
37,Verona Maddox,181,Ivy Ward,7,2
38,Declan Reed,54,Rylan Hart,1,N/A
39,Amara Hayes,33,Caelan Forrest,4,3
40,Owen Frost,0,Aurora Sinclair,3,5
41,Brielle Larson,153,Lyric Frost,11,2
42,Kael Montgomery,160,Ivy Hart,7,5
43,Odalys Quinn,166,Coraline Quinn,9,3
44,Soren Beck,84,Leona Pierce,1,N/A
45,Astrid Maddox,81,Nova Belmont,9,5
46,Drake Langston,37,Dante Lyons,1,N/A
47,Maeva Price,156,Jaxson Wood,2,14
48,Camden Lang,109,Seren Locke,1,9
49,Aurora Vale,88,Fabian Walker,1,N/A
50,Eamon Hart,22,Azura Wakefield,3,8
51,Ember Whitman,140,Rowan Gray,11,1
52,Tristan March,86,Siobhan Neal,2,6
53,Isla Nairn,143,Lilith Hale,1,N/A
54,Warren Hayes,41,Elyria Page,7,9
55,Paloma Quinn,139,Aveline Kerr,1,N/A
56,Rowan Tate,40,Teagan Miles,1,N/A
57,Vivienne Bell,103,Luna Hale,1,N/A
58,Everett Lewis,4,Leif Branson,2,1
59,Leona Shaw,80,Imogen Castor,3,14
