Id,Start time,Completion time,Email,Name,KIN Mentorship ID (Link to Spreadsheet),First Name,Last Name,Email Address,To which gender identity do you most identify?,Please indicate if you have a preference for what gender your mentor/mentee is:,How important is accessing and developing a professional AAPI network?,How open are you to exploring topics outside of your immediate career or academic focus in the mentorship?,"How much do you value a structured mentoring relationship (e.g., goal setting, progress tracking)?","How important is frequent communication (e.g., weekly or bi-weekly) in a mentoring relationship?",Select if you are a Kin Mentor or Kin Mentee,Would you be open to the possibility of having 2 Kin Mentees?,What industries can you provide mentorship on?,"How comfortable do you feel providing guidance on professional skills such as resume writing, interviewing, personal brand, presentation skills, etc.?",How confident do you feel in guiding your mentee in securing an internship or full-time employment opportunity?,Who is your #1 Kin Mentee preference?,Who is your #2 Kin Mentee preference?,Who is your #3 Kin Mentee preference?,Who is your #4 Kin Mentee preference?,Who is your #5 Kin Mentee preference?,Who is your #6 Kin Mentee preference?,Who is your #7 Kin Mentee preference?,Who is your #8 Kin Mentee preference?,Who is your #9 Kin Mentee preference?,Who is your #10 Kin Mentee preference?,Who is your #11 Kin Mentee preference?,Who is your #12 Kin Mentee preference?,Who is your #13 Kin Mentee preference?,Who is your #14 Kin Mentee preference?,Who is your #15 Kin Mentee preference?,Would you be open to the possibility of having a 1 Kin Mentor: 2 Kin Mentee mentorship partnership?,What industries are you interested in receiving mentorship on?,"How important is enhancing professional skills (resume writing, interviewing, personal brand, presentation skills, etc.)?",How important is securing an internship or full-time employment opportunity?,Who is your #1 Kin Mentor preference?,Who is your #2 Kin Mentor preference?,Who is your #3 Kin Mentor preference?,Who is your #4 Kin Mentor preference?,Who is your #5 Kin Mentor preference?,Who is your #6 Kin Mentor preference?,Who is your #7 Kin Mentor preference?,Who is your #8 Kin Mentor preference?,Who is your #9 Kin Mentor preference?,Who is your #10 Kin Mentor preference?,Who is your #11 Kin Mentor preference?,Who is your #12 Kin Mentor preference?,Who is your #13 Kin Mentor preference?,Who is your #14 Kin Mentor preference?,Who is your #15 Kin Mentor preference?,How comfortable do you feel in asking for help in achieving your academic and career goals?,How prepared do you feel to take the next steps in your career?,How connected do you feel to a network of professionals to achieve your academic and career goals?,"As an AAPI student, how empowered (supported and confident) do you feel in your ability to achieve your career goals?",How connected do you feel to the AAPI community?,Is there anything else that you would like us to consider as part of the matching process?
563856,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,sample@email.com,Aurora Sinclair,0,Aurora,Sinclair,sample@email.com,Male,No Preference,3,3,1,2,Kin Mentee,,,,,,,,,,,,,,,,,,,,Yes,Entertainment;Nonprofit;Hospitality;,10,10,108,178,20,100,55,25,190,76,86,2,147,6,133,155,27,6,7,3,6,8,Filler String
163945,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,sample@email.com,Kai Thompson,1,Kai,Thompson,sample@email.com,Female,Male,4,4,6,5,Kin Mentee,,,,,,,,,,,,,,,,,,,,No,Technology;,6,8,191,163,35,169,144,58,138,136,151,141,23,93,52,172,88,3,9,1,10,10,Filler String
524926,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,sample@email.com,Evander Mason,2,Evander,Mason,sample@email.com,Female,Male,1,3,4,7,Kin Mentee,,,,,,,,,,,,,,,,,,,,No,Legal;Human Resources;Finance;,9,1,34,89,55,81,98,91,86,191,196,114,39,164,150,124,42,9,5,8,2,1,Filler String
717857,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,sample@email.com,Seraphina Whitmore,3,Seraphina,Whitmore,sample@email.com,Nonbinary/Fluid/Gender Queer,Nonbinary/Fluid/Gender Queer,3,4,4,1,Kin Mentee,,,,,,,,,,,,,,,,,,,,No,Engineering;,1,6,168,188,78,8,54,22,50,41,170,169,96,180,65,61,138,10,7,10,9,9,Filler String
628752,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,sample@email.com,Leif Branson,4,Leif,Branson,sample@email.com,Male,Nonbinary/Fluid/Gender Queer,4,10,8,8,Kin Mentee,,,,,,,,,,,,,,,,,,,,No,Fashion;Advertising/Marketing;Hospitality;Government;,1,9,12,20,151,165,118,149,21,176,191,0,27,187,122,30,44,8,3,4,1,4,Filler String
814915,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,sample@email.com,Thalia Rivera,5,Thalia,Rivera,sample@email.com,Male,Male,5,1,10,9,Kin Mentee,,,,,,,,,,,,,,,,,,,,No,Engineering;Agriculture;Hospitality;,5,10,137,192,189,101,155,176,102,60,23,75,107,148,92,168,65,5,9,9,9,6,Filler String
837853,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,sample@email.com,Orion Huxley,6,Orion,Huxley,sample@email.com,Female,No Preference,10,6,6,6,Kin Mentee,,,,,,,,,,,,,,,,,,,,Yes,Fashion;Government;Technology;,10,10,128,180,132,63,113,160,195,19,93,43,89,141,157,45,131,6,6,2,5,1,Filler String
454672,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,sample@email.com,Alaric Devereaux,7,Alaric,Devereaux,sample@email.com,Female,Male,3,10,9,9,Kin Mentee,,,,,,,,,,,,,,,,,,,,No,Education;Food and Beverage;Hospitality;Legal;Human Resources;,10,2,107,26,139,33,71,65,166,114,168,46,84,178,12,112,69,2,6,1,3,7,Filler String
385511,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,sample@email.com,Isolde Kensington,8,Isolde,Kensington,sample@email.com,Nonbinary/Fluid/Gender Queer,Female,8,4,8,10,Kin Mentee,,,,,,,,,,,,,,,,,,,,No,Arts and Design;Government;Aerospace;Technology;,1,7,122,77,171,92,115,44,158,96,136,48,130,51,173,95,150,9,4,7,8,4,Filler String
404612,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,sample@email.com,Lysander Ellison,9,Lysander,Ellison,sample@email.com,Male,Nonbinary/Fluid/Gender Queer,5,2,8,7,Kin Mentee,,,,,,,,,,,,,,,,,,,,Yes,Advertising/Marketing;Education;Aerospace;,4,2,162,31,193,123,26,190,14,121,163,37,54,74,8,9,76,2,1,6,1,9,Filler String
