Id,Start time,Completion time,Email,Name,KIN Mentorship ID (Link to Spreadsheet),First Name,Last Name,Email Address,To which gender identity do you most identify?,Please indicate if you have a preference for what gender your mentor/mentee is:,How important is accessing and developing a professional AAPI network?,How open are you to exploring topics outside of your immediate career or academic focus in the mentorship?,"How much do you value a structured mentoring relationship (e.g., goal setting, progress tracking)?","How important is frequent communication (e.g., weekly or bi-weekly) in a mentoring relationship?",Select if you are a Kin Mentor or Kin Mentee,Would you be open to the possibility of having 2 Kin Mentees?,What industries can you provide mentorship on?,"How comfortable do you feel providing guidance on professional skills such as resume writing, interviewing, personal brand, presentation skills, etc.?",How confident do you feel in guiding your mentee in securing an internship or full-time employment opportunity?,Who is your #1 Kin Mentee preference?,Who is your #2 Kin Mentee preference?,Who is your #3 Kin Mentee preference?,Who is your #4 Kin Mentee preference?,Who is your #5 Kin Mentee preference?,Who is your #6 Kin Mentee preference?,Who is your #7 Kin Mentee preference?,Who is your #8 Kin Mentee preference?,Who is your #9 Kin Mentee preference?,Who is your #10 Kin Mentee preference?,Who is your #11 Kin Mentee preference?,Who is your #12 Kin Mentee preference?,Who is your #13 Kin Mentee preference?,Who is your #14 Kin Mentee preference?,Who is your #15 Kin Mentee preference?,Would you be open to the possibility of having a 1 Kin Mentor: 2 Kin Mentee mentorship partnership?,What industries are you interested in receiving mentorship on?,"How important is enhancing professional skills (resume writing, interviewing, personal brand, presentation skills, etc.)?",How important is securing an internship or full-time employment opportunity?,Who is your #1 Kin Mentor preference?,Who is your #2 Kin Mentor preference?,Who is your #3 Kin Mentor preference?,Who is your #4 Kin Mentor preference?,Who is your #5 Kin Mentor preference?,Who is your #6 Kin Mentor preference?,Who is your #7 Kin Mentor preference?,Who is your #8 Kin Mentor preference?,Who is your #9 Kin Mentor preference?,Who is your #10 Kin Mentor preference?,Who is your #11 Kin Mentor preference?,Who is your #12 Kin Mentor preference?,Who is your #13 Kin Mentor preference?,Who is your #14 Kin Mentor preference?,Who is your #15 Kin Mentor preference?,How comfortable do you feel in asking for help in achieving your academic and career goals?,How prepared do you feel to take the next steps in your career?,How connected do you feel to a network of professionals to achieve your academic and career goals?,"As an AAPI student, how empowered (supported and confident) do you feel in your ability to achieve your career goals?",How connected do you feel to the AAPI community?,Is there anything else that you would like us to consider as part of the matching process?
524696,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,sample@email.com,Aurora Sinclair,0,Aurora,Sinclair,sample@email.com,Nonbinary/Fluid/Gender Queer,No Preference,3,5,"7","4",Kin Mentee,,,,,,,,,,,,,,,,,,,,No,Education;,"7",3,186,127,96,138,161,86,16,157,6,188,76,78,43,55,33,3,1,6,"4",9,Filler String
590559,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,sample@email.com,Kai Thompson,1,Kai,Thompson,sample@email.com,Male,Male,9,9,"7","1",Kin Mentee,,,,,,,,,,,,,,,,,,,,Yes,Engineering;,"1",7,25,5,139,27,134,162,82,2,80,66,199,106,147,131,119,7,4,4,"9",5,Filler String
260855,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,sample@email.com,Evander Mason,2,Evander,Mason,sample@email.com,Male,No Preference,1,8,"9","1",Kin Mentee,,,,,,,,,,,,,,,,,,,,No,Finance;Education;Real Estate;Legal;Engineering;,"7",10,115,60,7,194,47,22,105,162,36,38,78,138,9,74,136,2,9,6,"3",7,Filler String
658955,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,sample@email.com,Seraphina Whitmore,3,Seraphina,Whitmore,sample@email.com,Female,Male,2,1,"4","8",Kin Mentee,,,,,,,,,,,,,,,,,,,,No,Human Resources;Hospitality;Education;,"1",9,15,70,124,147,184,67,19,125,171,105,37,166,34,41,21,7,10,7,"4",1,Filler String
455281,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,sample@email.com,Leif Branson,4,Leif,Branson,sample@email.com,Male,No Preference,3,6,"4","2",Kin Mentee,,,,,,,,,,,,,,,,,,,,No,Food and Beverage;Pharmaceutical;Hospitality;Consulting;,"8",1,175,93,135,188,151,168,104,100,52,74,60,3,114,129,122,7,7,9,"2",8,Filler String
599209,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,sample@email.com,Thalia Rivera,5,Thalia,Rivera,sample@email.com,Female,Female,4,7,"2","2",Kin Mentee,,,,,,,,,,,,,,,,,,,,No,Agriculture;Accounting;Finance;,"8",6,125,69,199,33,41,149,49,50,152,53,132,64,126,4,178,7,8,5,"2",3,Filler String
532718,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,sample@email.com,Orion Huxley,6,Orion,Huxley,sample@email.com,Male,No Preference,3,3,"5","5",Kin Mentee,,,,,,,,,,,,,,,,,,,,Yes,Media and News;Education;Arts and Design;Accounting;,"8",5,101,129,35,168,151,113,97,68,48,136,163,72,4,137,52,1,2,4,"3",6,Filler String
415281,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,sample@email.com,Alaric Devereaux,7,Alaric,Devereaux,sample@email.com,Male,Male,9,3,"4","6",Kin Mentee,,,,,,,,,,,,,,,,,,,,No,Media and News;,"4",10,65,5,145,37,105,152,46,39,73,163,124,147,10,144,75,3,4,2,"7",10,Filler String
774011,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,sample@email.com,Isolde Kensington,8,Isolde,Kensington,sample@email.com,Male,No Preference,2,2,"10","8",Kin Mentee,,,,,,,,,,,,,,,,,,,,No,Media and News;Real Estate;Hospitality;Technology;Legal;,"2",5,61,63,102,128,66,10,86,27,165,110,163,180,20,41,133,8,6,7,"1",6,Filler String
472376,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,sample@email.com,Lysander Ellison,9,Lysander,Ellison,sample@email.com,Male,No Preference,8,3,"7","2",Kin Mentee,,,,,,,,,,,,,,,,,,,,Yes,Pharmaceutical;Hospitality;Technology;Engineering;Nonprofit;,"6",5,93,94,138,65,174,59,85,158,39,172,51,90,70,181,60,10,2,8,"1",5,Filler String
871631,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,sample@email.com,Cassia Bloom,10,Cassia,Bloom,sample@email.com,Nonbinary/Fluid/Gender Queer,Female,3,2,"1","8",Kin Mentee,,,,,,,,,,,,,,,,,,,,No,Food and Beverage;,"2",5,13,119,29,7,101,46,41,36,3,84,8,149,191,163,186,7,4,4,"5",9,Filler String
514259,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,sample@email.com,Eamon Fitzgerald,11,Eamon,Fitzgerald,sample@email.com,Female,No Preference,7,9,"1","7",Kin Mentee,,,,,,,,,,,,,,,,,,,,Yes,Hospitality;Agriculture;Entrepreneurship;Human Resources;,"1",9,25,113,196,14,138,131,108,49,103,173,26,156,24,115,15,3,2,8,"3",3,Filler String
613936,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,sample@email.com,Nyla Winters,12,Nyla,Winters,sample@email.com,Male,No Preference,1,3,"10","2",Kin Mentee,,,,,,,,,,,,,,,,,,,,Yes,Agriculture;Technology;Aerospace;Advertising/Marketing;,"6",6,111,69,92,173,167,191,51,182,123,178,87,136,157,139,148,1,3,2,"8",8,Filler String
613091,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,sample@email.com,Soren Voss,13,Soren,Voss,sample@email.com,Male,No Preference,7,6,"4","6",Kin Mentee,,,,,,,,,,,,,,,,,,,,No,Advertising/Marketing;Entrepreneurship;Government;Agriculture;Real Estate;,"3",7,83,140,176,89,1,58,145,43,14,29,153,135,94,175,65,3,9,3,"4",1,Filler String
